
<div>visitor [ˈvizitə] n.访问者，客人，来宾，参观者<br>
severe [siˈviə] adj.严厉的；剧烈的，严重的，严峻的...<br>
virtue [ˈvə:tju:] n.德行，美德；贞操；优点；功效，效力<br>
breast [brest] n.胸膛，乳房<br>
sheet [ʃi:t] n.被单；（一）张，（一）片，薄片；大...<br>
</div>

<div><b>2013考研大纲新增部分</b><br>
censorship [ˈsensəʃɪp] n.审查（制度），检查（制度）<br>
diabetes [ˌdaɪəˈbi:ti:z] n.[医]糖尿病<br>
guild [gɪld] n.行会，同业公会<br>
contagious [kənˈteɪdʒəs] adj.（接）触（传）染的；（有）触染...<br>
ape [eɪp] n.&v.模仿<br>
transit [ˈtrænzɪt] n.&v.运输，运送；通路，运输路线...<br>
scenario [sɪˈneəri:ˌəʊ] n.剧本提纲；（小说的）情节梗概<br>
lyric [ˈlɪrɪk] n.抒情诗；抒情作品<br>
franchise [ˈfræntʃaɪz] n.（经营）特权，特许；特许经营（权）...<br>
stagnant [ˈstægnənt] adj.停滞的，不流动的<br>
ethic [ˈeθɪk] n.标准理论；道德准则（或体系）<br>
culprit [ˈkʌlprɪt] n.犯人，罪犯<br>
ivory [ˈaɪvəri] n.象牙；（海象等的）长牙<br>
glacier [ˈɡlæsjə] n.冰川<br>
snobbish [ˈsnɒbɪʃ] adj.势利的；谄上欺下的<br>
allegiance [əˈli:dʒəns] n.效忠；忠诚<br>
marathon [ˈmærəθən] n.[体]马拉松赛跑<br>
embryo [ˈembriəʊ] n.胚；胚胎<br>
rehearse [rɪˈhɜ:s] v.排练，排演<br>
nostalgic [nɔsˈtældʒik] adj.恋旧的，怀旧的；引起怀旧的<br>
</div>

<div>defendant [dɪˈfendənt] n.[律]被告<br>
dinosaur [ˈdaɪnəsɔ:(r)] n.恐龙<br>
blog [blɒɡ] n.博客，网络日志<br>
converge [kənˈvɜ:dʒ] v.（道路、车辆、人群等）会合，集中<br>
toil [tɔɪl] v.苦干，辛劳从事（于）<br>
overhaul [ˈəʊvəhɔ:l] n.&v.解体检修，大修；详细检查<br>
portfolio [pɔ:tˈfəʊli:ˌəʊ] n.（皮制）公事包；文件夹<br>
debut [ˈdeibu:] v.初进社交界<br>
taboo [təˈbu:] n.禁忌，忌讳，戒忌<br>
buzz [bʌz] n.嗡嗡声，蜂音<br>
freelance [ˈfri:lɑ:ns] n.自由职业者（如自由撰稿人等）<br>
alienate [ˈeɪliəneɪt] v.使疏远；离间<br>
archaeology [ˌɑ:kiˈɒlədʒi] n.考古学<br>
accustom [əˈkʌstəm] v.使习惯于；习惯于<br>
deplore [dɪˈplɔ:(r)] v.哀叹，悲叹；哀悼<br>
vaccine [vækˈsi:n] n.[医]疫苗；[计]疫苗（程序）<br>
obesity [əʊˈbi:sɪti:] n.肥胖（症）<br>
salient [ˈseɪliənt] adj.显著的<br>
default [dɪˈfɔ:lt] n.&v.不履行，违约，拖欠<br>
redeem [rɪˈdi:m] v.买回；赎回<br>
</div>

<div>dioxide [daɪˈɒksaɪd] n.[化]二氧化物<br>
inaugurate [ɪˈnɔ:gjəreɪt] n.开始；开展<br>
comet [ˈkɔmit] n.[天]彗星<br>
defer [dɪˈfɜ:(r)] v.推迟，（使）延期<br>
fiscal [ˈfɪskl] adj.国库的；国家岁入的<br>
endorse [enˈdɔ:s] v.赞同；支持；认可<br>
statistics [stəˈtistiks] n.统计；统计资料<br>
turmoil [ˈtɜ:mɔɪl] n.骚动；混乱；喧嚷<br>
memorandum [ˌmeməˈrændəm] n.备忘录<br>
hygiene [ˈhaɪdʒi:n] n.卫生；卫生学；保健学<br>
daunt [dɔ:nt] v.威吓；使胆怯，使气馁<br>
recession [rɪˈseʃn] n.（经济的）衰退（期）<br>
herald [ˈherəld] n.传令官<br>
botany [ˈbɒtəni] n.植物学<br>
enre [ˈbɒtəni] n.（文艺作品的）样式，体裁<br>
plaintiff [ˈpleɪntɪf] n.[律]原告，起诉人<br>
bail [beɪl] v.保释，使某人脱离困境<br>
neutron [ˈnu:ˌtrɔn] n.[物]中子<br>
hormone [ˈhɔ:ˌməʊn] n.[生化]激素<br>
</div>
