
<div>meteorite [ˈmi:ti:əˌraɪt] n.陨星，陨石<br>
refrigerator [riˈfridʒəreitə] n.冰箱，冷藏库<br>
silly [ˈsili] adj.愚蠢的；糊涂的；傻的<br>
distortion [dɪˈstɔ:ʃən] n.扭曲；歪曲<br>
citadel [ˈsɪtədəl] n.堡垒，要塞<br>
content [ˈkɔntent] adj.满足的<br>
</div>

<div>horn [hɔ:n] n.（牛羊等的）角<br>
expenditure [ɪkˈspendətʃə] n.支出，花费<br>
perceptive [pəˈseptɪv] adj.感知的；有洞察力的<br>
miserable [ˈmizərəbl] adj.痛苦的，悲惨的，可怜的<br>
springwater [sp'rɪŋwɔːtə] n.天然泉水<br>
correspondence [ˌkɔrisˈpɔndəns] n.通信，信件；相应，对应<br>
defense [diˈfens] n.防卫；防卫物<br>
softwood [ˈsɔftwud] n.软木材<br>
inflexible [ɪnˈfleksəbəl] adj.坚定的<br>
heal [hi:l] v.康复，治愈<br>
immunity [ɪˈmju:nɪti:] n.免疫，免疫性<br>
rudimentary [ˌru:dəˈmentəri:] adj.基本的；初步的，发展未完全的<br>
equestrian [iˈkwestriən] adj.骑马的，骑士阶层的<br>
derive [diˈraiv] vt.得到，获取；源于<br>
incandescent [ˌɪnkənˈdesənt] adj.遇热发光的，白炽的<br>
centennial [senˈteni:əl] n.百年纪念<br>
gasoline [ˈɡæsəli:n] n.汽油<br>
provoke [prəˈvəuk] vt.激怒，惹起<br>
hydrosphere [ˈhaidrəsfiə] n.水圈，水气，水界<br>
meager [ˈmi:gə] adj.缺乏的，不足的，微薄的<br>
</div>

<div>eccentricity [ˌeksenˈtrɪsɪti:] n.反常，古怪<br>
chilly [ˈtʃɪli:] adj.寒冷的<br>
chore [tʃɔː(r)] n.家务；杂事<br>
tenderness [ˈtendənɪs] n.亲切，温柔<br>
turbulence [ˈtɜ:bjələns] n.动荡；骚乱<br>
portraiture [ˈpɔ:trɪˌtʃʊə] n.肖像画法<br>
sunglasses [ˈsʌnˌglɑ:sɪz] n.太阳镜；墨镜<br>
extinct [iksˈtiŋkt] adj.灭绝的；不再活跃的，熄灭的<br>
cooperation [kəuˌɔpəˈreiʃən] n.合作，协作<br>
rigor [ˈrɪgə] n.严谨；严格，严厉<br>
exposure [iksˈpəuʒə] n.暴露；揭发；曝光<br>
outgoing [ˈaʊtˌgəʊɪŋ] adj.好交际的，外向的<br>
illusion [iˈlju:ʒən] n.幻觉；错觉<br>
definition [ˌdefiˈniʃən] n.定义<br>
flare [flɛə] vi.闪光，闪耀；燃烧<br>
audible [ˈɔ:dəbəl] adj.听得见的<br>
hem [hem] n.（衣服或裙子）褶边，边缘<br>
diagnose [ˈdaiəɡnəuz] vt.诊断<br>
nuclear [ˈnju:kliə] adj.核子的；核的，原子能的<br>
permeable [ˈpɜ:mi:əbəl] adj.有浸透性的，能透过的<br>
</div>

<div>aversion [əˈvɜ:ʒən] n.厌恶，讨厌<br>
supplementary [ˌsʌplɪˈmentri] adj.补充的<br>
weaverbird [ˈˈwi:vəbə:d] n.[鸟]织巢鸟之一种<br>
posthumous [ˈpɔstʃəməs] adj.死后的，身后的<br>
rough [rʌf] adj.粗糙的；不平的<br>
invader [ɪnˈveɪdə] n.侵略者<br>
equal [ˈi:kwəl] vt.等于，比得上<br>
Scotch [skɔtʃ] adj.苏格兰的<br>
projectionist [prəˈdʒekʃənist] n.电影放映员，幻灯放映员<br>
ecosystem [ˈekəʊˌsɪstəm] n.生态系统<br>
segregate [ˈseɡriɡeit] vt.分离，隔离<br>
bitter [ˈbitə] adj.苦（味）的；（令人）痛苦的；尖...<br>
concept [ˈkɔnsept] n.概念，观念<br>
impersonal [ɪmˈpɜ:sənəl] adj.不受个人感情支配的，客观的，无...<br>
debtor [ˈdetə] n.债务人<br>
estate [isˈteit] n.地产，财产<br>
galvanization [ˌgælvənɪ'zeɪʃən] n.镀锌；电镀<br>
jewel [ˈdʒu:əl] n.宝石<br>
ancestral [ænˈsestrəl] adj.祖先的，祖传的<br>
exposition [ˌekspəˈziʃən] n.博览会，展览会<br>
</div>

<div>portray [pɔ:ˈtrei] vt.描述；绘制<br>
encourage [inˈkʌridʒ] vt.鼓励，支持<br>
self-sufficient [ˌselfsəˈfɪʃənt] adj.自给自足的<br>
lobby [ˈlɔbi] v.游说议员<br>
faithfulness [ˈfeɪθflnəs] n.忠诚，诚实<br>
careful [ˈkɛəful] adj.小心的，仔细的<br>
influx [ˈɪnˌflʌks] n.流入<br>
homogenize [həˈmɔdʒəˌnaɪz] vt.使均匀<br>
mockingbird [ˈmɔkiŋbə:d] n.（动物）仿声鸟<br>
accommodate [əˈkɔmədeit] vt.为…提供食宿；与…相符，与…相适...<br>
rational [ˈræʃənl] adj.理性的，合理的<br>
acupuncture [ˈækjʊˌpʌŋktʃə] n.针刺；针灸<br>
distend [dɪˈstend] vt.&vi.（使）扩大，（使）肿胀<br>
enzyme [ˈenzaɪm] n.酶<br>
clarify [ˈklærifai] vt.澄清，阐明<br>
solicit [səˈlisit] vt.恳求，乞求<br>
parallel [ˈpærəlel] adj.平行的<br>
expanse [ɪkˈspæns] n.广阔的区域<br>
friction [ˈfrikʃən] n.冲突，不和；摩擦<br>
ideological [ˌaɪdi:əˈlɔdʒɪkəl] adj.意识形态的<br>
</div>

<div>harmonic [hɑ:ˈmɔnik] adj.和声的<br>
voltage [ˈvəʊltɪdʒ] n.电压<br>
stratum [ˈstreɪtəm] n.地层（单数）；阶层<br>
emerging  adj.正在不断出现的<br>
hierarchy [ˈhaiərɑ:ki] n.阶层，等级制度<br>
tip [tip] n.小费<br>
elixir [ɪˈlɪksə] n.长生不老药，万能药<br>
flake [fleik] vt.使成薄片；（油漆等）剥落，脱落<br>
extinction [ɪkˈstɪŋkʃən] n.消失，灭绝<br>
admittedly [ædˈmɪtɪdli:] adv.公认地；诚然，无可否认地<br>
seamount [ˈsi:maunt] n.海底山<br>
subside [səbˈsaid] v.平息，减退<br>
steer [stiə] v.驾驶，掌舵<br>
revolt [riˈvəult] v.反抗，起义，反叛<br>
frustrating [frʌˈstreɪtɪŋ] adj.令人沮丧的<br>
cacti [ˈkæktaɪ] n.仙人掌<br>
dehydrate [di:ˈhaɪˌdreɪt] vt.使脱水<br>
ecologist [i:ˈkɔlədʒɪst] n.生态学家<br>
readjust [ˌri:əˈdʒʌst] vt.重新调整<br>
dispute [disˈpju:t] v.争论，争执<br>
</div>

<div>instrumentalist [ˈɪnstrʊməntəlɪst] n.器乐家，器乐演奏者<br>
stubborn [ˈstʌbən] adj.顽固的，固执的<br>
plasma [ˈplæzmə] n.血浆<br>
erosion [iˈrəuʒən] n.腐蚀，侵蚀<br>
notation [nəuˈteiʃən] n.符号<br>
brisk [brisk] adj.活泼的，轻快的<br>
counseling  n.咨询服务<br>
fanatical [fəˈnætɪkəl] adj.狂热的，盲信的<br>
proper [ˈprɔpə] adj.恰当的，得体的<br>
condition [kənˈdiʃən] n.条件；状况；健康状况<br>
slice [slais] vt.切成薄片，切下<br>
sticky [ˈstiki] adj.黏的，黏性的<br>
occasionally [əˈkeɪʒ(ə)nəli] adv.偶尔<br>
prevalent [ˈprevələnt] adj.普遍的；流行的<br>
approaching [əˈprəʊtʃɪŋ] adj.接近的，逼近的<br>
ingredient [inˈɡri:djənt] n.配料，成份<br>
magician [məˈdʒɪʃən] n.魔术师，变戏法的人<br>
overload [ˌəʊvəˈləʊd] vt.使超载，超过负荷<br>
escape [isˈkeip] v.逃脱，逃走；避开，避免<br>
fauna [ˈfɔ:nə] n.动物群<br>
</div>

<div>cello [ˈtʃeləʊ] n.大提琴<br>
saltiness  n.盐度<br>
rigid [ˈridʒid] adj.严格的<br>
coinage [ˈkɔɪnɪdʒ] n.造币，货币制度<br>
careless [ˈkɛəlis] adj.粗心的，疏忽的<br>
upgrade [ˌʌpˈɡreid] v.使升级，提升<br>
foresee [fɔ:ˈsi:] vt.预见，预知<br>
integrity [inˈteɡriti] n.完整性；正直，诚实<br>
optical [ˈɔptikəl] adj.视觉的；光学的<br>
forestall [fɔ:ˈstɔ:l] vt.预防，预先阻止<br>
superior [sjuˈpiəriə] adj.级别或地位更高的；质量或价值更...<br>
thorny [ˈθɔ:ni:] adj.多刺的<br>
ethically [ˈeθɪkli] adv.在伦理上，道德上<br>
discourse [ˈdiskɔ:s] n.讲道，演讲<br>
compete [kəmˈpi:t] vi.竞争，比得上<br>
particle [ˈpɑ:tikl] n.点，微粒<br>
frank [fræŋk] adj.坦白的，直率的<br>
integral [ˈintiɡrəl] adj.基本的；构成整体所需的<br>
affectionate [əˈfekʃənɪt] adj.亲爱的，挚爱的；充满深情的<br>
odd [ɔd] adj.奇异的，古怪的<br>
</div>

<div>tractor [ˈtræktə] n.拖拉机<br>
trumpet [ˈtrʌmpit] n.喇叭<br>
religious [riˈlidʒəs] adj.信奉宗教的，虔诚的<br>
besides [biˈsaidz] adv.除…之外（还有）<br>
hardy [ˈhɑ:di] adj.能吃苦耐劳的，强壮的<br>
deliberately [dɪˈlɪbərɪtlɪ] adv.故意地<br>
reschedule [riˈskedʒul] v.重新计划，重订…的时间表<br>
sow [səu] vt.播种<br>
heir [ɛə] n.继承人，后嗣<br>
mysterious [miˈstiəriəs] adj.神秘的<br>
transmit [trænzˈmit] v.传送，传播<br>
spectrum [ˈspektrəm] n.谱，光谱<br>
subtle [ˈsʌtl] adj.微妙的，细微的<br>
breathtaking [ˈbreθˌteɪkɪŋ] adj.令人激动的；惊人的<br>
genetic [dʒiˈnetik] adj.遗传的，起源的<br>
palatable [ˈpælətəbəl] adj.美味的<br>
folding [ˈfəʊldɪŋ] adj.可折叠的<br>
volcano [vɔlˈkeinəu] n.火山<br>
proprietor [prəˈpraɪɪtə] n.所有者，业主<br>
attraction [əˈtrækʃən] n.吸引；吸引人的事物<br>
</div>

<div>deter [dɪˈtɜ:] vt.阻碍，制止，使踌躇<br>
dominate [ˈdɔmineit] vi.盛行<br>
delicious [diˈliʃəs] adj.美味的，可口的<br>
reform [riˈfɔ:m] v.改革，革新<br>
respectively [risˈpektivli] adv.分别地，各个地<br>
alien [ˈeiljən] adj.相异的；陌生的<br>
confession [kənˈfeʃən] n.承认，供词<br>
rancher [ˈræntʃə] n.大农场主；牧场工人<br>
reimburse [ˌri:ɪmˈbɜ:s] vt.偿还；赔偿<br>
translucent [trænsˈlu:sənt] adj.半透明的；透明的<br>
balmy [ˈbɑ:mi:] adj.芳香的；（空气）温和的<br>
constant [ˈkɔnstənt] adj.不变的，持续的；一再重复的<br>
distinguish [disˈtiŋɡwiʃ] vt.区别，辨认<br>
burgeon [ˈbɜ:dʒən] vi.迅速成长，发展<br>
inevitably [ɪnˈevɪtəblɪ] adv.不可避免地，必然地<br>
endurance [inˈdjuərəns] n.忍耐（力），持久（力）<br>
admit [ədˈmit] vt.准许进入；承认<br>
adapt [əˈdæpt] v.（使）适应，调整；改编<br>
tolerance [ˈtɔlərəns] n.忍受，宽容<br>
backpack [ˈbækpæk] n.背包<br>
</div>

<div>protest [ˈprəutest] vt.抗议<br>
confluence [ˈkɔnflu:əns] n.汇合；聚集<br>
alike [əˈlaik] adj.相同的，相似的<br>
solidify [səˈlɪdəˌfaɪ] vt.使凝结，使团结，使巩固<br>
repute [rɪˈpju:t] n.名声<br>
retrospect [ˈretrəspekt] n.回顾，回想<br>
hornet [ˈhɔ:nɪt] n.大黄蜂类<br>
prescribed [prɪˈskraɪbd] adj.规定的<br>
leap [li:p] vi.跳；跃<br>
global [ˈɡləubəl] adj.全球的；全世界的<br>
loop [lu:p] n.圈，环<br>
quail [kweɪl] vi.胆怯；畏缩<br>
spontaneous [spɔnˈteiniəs] adj.自发的，自然产生的<br>
utilize [ˈju:tilaiz] v.利用<br>
screwdriver [ˈskru:ˌdraɪvə] n.螺丝刀<br>
rigidity [rɪˈdʒɪdɪti:] n.僵化，死板；刚性，硬度<br>
blues [blu:z] n.抑郁，沮丧；布鲁斯音乐<br>
appreciate [əˈpri:ʃieit] vt.赏识；鉴赏；感激<br>
plow [plau] vt.耕作<br>
seduce [siˈdju:s] vt.勾引，诱惑<br>
</div>

<div>eye-catching [ˈaiˌkætʃiŋ] adj.引人注目的，耀眼的<br>
glare [ɡlɛə] v.瞪眼；闪耀<br>
stride [straid] n.大步，一跨步<br>
mock [mɔk] v.（模仿性的）嘲笑<br>
compromise [ˈkɔmprəmaiz] v.妥协，让步<br>
whittle [ˈhwɪtl] v.削；削减<br>
subterranean [ˌsʌbtəˈreɪni:ən] adj.地下的，地表下的<br>
restrain [risˈtrein] vt.克制，抑制<br>
predominant [priˈdɔminənt] adj.支配的，主要的<br>
rectangular [rekˈtæŋɡjulə] adj.矩形的，长方形的<br>
breed [bri:d] vt.养育，繁殖<br>
tuition [tjuˈiʃən] n.学费<br>
packaging [ˈpækədʒɪŋ] n.包装<br>
fateful [ˈfeɪtfəl] adj.重大的，决定性的<br>
homespun [ˈhəumspʌn] adj.朴实的；家里纺织的<br>
additional [əˈdɪʃənl] adj.另外的，附加的，额外的<br>
neutralize [ˈnu:trəˌlaɪz] vt.抵消，中和<br>
exaggerate [iɡˈzædʒəreit] v.夸大，夸张<br>
complex [ˈkɔmpleks] n.综合体<br>
rescue [ˈreskju:] vt.援救，救援<br>
</div>

<div>harmless [ˈhɑ:mlɪs] adj.无害的<br>
rayon [ˈreɪɔn] n.人造丝，人造纤维<br>
sway [swei] vt.使倾斜；影响，左右<br>
antiquated [ˈæntɪˌkweɪtɪd] adj.陈旧的，过时的<br>
opposed [əˈpəuzd] adj.反对的<br>
fossilize [ˈfɔsəˌlaɪz] vt.使成化石<br>
portraitist [ˈpɔ:tritist] n.肖像画家<br>
hesitant [ˈhezɪtənt] adj.迟疑的，犹豫不定的<br>
definite [ˈdefinit] adj.清楚的；明确的；确切的<br>
adventure [ədˈventʃə] n.冒险，冒险的经历<br>
wed [wed] v.娶，嫁，结婚<br>
elusive [ɪˈlu:sɪv] adj.难以实现的，难捉摸的<br>
culminate [ˈkʌlmineit] v.达到顶点；以…告终<br>
projecting  adj.突出的，伸出的<br>
foresight [ˈfɔ:ˌsaɪt] n.远见，深谋远虑<br>
radically [ˈrædɪkəlɪ] adv.根本上<br>
edge [edʒ] n.边缘<br>
flair [fleə] n.才能，本领<br>
primate [ˈpraɪmɪt] adj.首要的，第一的<br>
customs [ˈkʌstəmz] n.关税；海关<br>
</div>

<div>outstanding [ˌautˈstændiŋ] adj.杰出的，显著的<br>
scraping [ˈskreɪpɪŋ] n.刮，擦；刮擦声<br>
viscous [ˈvɪskəs] adj.粘滞的，粘性的<br>
classification [ˌklæsifiˈkeiʃən] n.分类，分级<br>
handy [ˈhændi] adj.便利的，容易取得的<br>
bias [ˈbaiəs] n.偏见，偏好<br>
accelerating  adj.加速的<br>
relaxed [rɪˈlækst] adj.不拘束的；轻松的<br>
insight [ˈinsait] n.洞察力，见识<br>
compact [kəmˈpækt] vt.压缩；使坚实<br>
by-product [ˈbaiprɔdʌkt] n.副产品<br>
sharply [ˈʃɑ:plɪ] adv.突然地，猛烈地<br>
fireproof [ˈfaɪəˌpru:f] adj.耐火的，防火的<br>
ironic [aɪˈrɔnɪk] adj.讽刺的<br>
breakdown [ˈbreikdaun] n.失败；故障；分解；细目分类<br>
bleak [bli:k] adj.荒凉的，凄凉的<br>
outfit [ˈautfit] vt.配备，装备<br>
foremost [ˈfɔ:məust] adj.最重要的；第一流的；最初的<br>
outlying [ˈaʊtˌlaɪɪŋ] adj.边远的，偏僻的<br>
discrete [disˈkri:t] adj.独立的；不连续的，离散的<br>
</div>

<div>therefore [ˈðɛəfɔ:] adv.因此，所以<br>
confront [kənˈfrʌnt] vt.面对，正视，使面临<br>
probe [prəub] vi.调查，查究<br>
segment [ˈseɡmənt] n.部分；片断<br>
allocate [ˈæləkeit] vt.分配<br>
delicate [ˈdelikit] adj.脆的，易损的；娇弱的，纤细的；...<br>
outright [ˈautrait] adv.彻底地，完全地<br>
conclusive [kənˈklu:sɪv] adj.最后的，决定性的<br>
erratic [ɪˈrætɪk] adj.古怪的，不稳定的<br>
sensitive [ˈsensitiv] adj.灵敏的；敏感的，易受影响的<br>
benefit [ˈbenifit] vt.有益于，有助于<br>
shrub [ʃrʌb] n.灌木；灌木丛<br>
loosen [ˈlu:sən] vt.解开，放松<br>
raucous [ˈrɔ:kəs] adj.沙哑的；喧嚣的<br>
privilege [ˈprivilidʒ] n.特权<br>
atrophy [ˈætrəfi:] n.萎缩；萎缩症<br>
snowflake [ˈsnəʊˌfleɪk] n.雪花<br>
informed [ɪnˈfɔ:md] adj.了解情况的，见多识广的<br>
comprehend [ˌkɔmpriˈhend] vt.领悟，理解<br>
patriarchal [ˌpeɪtri:ˈɑ:kəl] adj.家长的，族长的<br>
</div>

<div>map [mæp] vt.绘制…的地图<br>
exemption [ɪgˈzempʃən] n.解除，免除<br>
cab [kæb] n.出租车<br>
dim [dim] adj.昏暗的，暗淡的<br>
possession [pəˈzeʃən] n.拥有，占有；财产<br>
canvas [ˈkænvəs] n.帆布；画布<br>
residual [rɪˈzɪdʒu:əl] adj.剩余的，残留的<br>
sunshine [ˈsʌnʃain] n.阳光<br>
onslaught [ˈɔnˌslɔ:t] n.冲击；猛攻<br>
decrease [di:ˈkri:s] v.减少<br>
microbe [ˈmaɪˌkrəʊb] n.微生物<br>
conspicuous [kənˈspikjuəs] adj.显著的；显眼的，引人注目的<br>
economical [ˌɪkəˈnɔmikəl] adj.经济的，节俭的<br>
susceptible [səˈseptəbl] adj.易受影响的；敏感的<br>
migrant [ˈmaiɡrənt] n.候鸟；移民<br>
venture [ˈventʃə] n.冒险（事业），投机活动<br>
marvelous [ˈmɑ:vələs] adj.非凡的；了不起的<br>
district [ˈdistrikt] n.区域，地区<br>
repertoire [ˈrepətwɑ:] n.（剧团等）常备剧目，保留剧目<br>
deplete [diˈpli:t] vt.耗尽，使衰竭<br>
</div>

<div>mandate [ˈmænˌdeɪt] n.命令，要求<br>
finance [faiˈnæns] vt.资助<br>
accident [ˈæksidənt] n.交通事故；车祸；意外；偶然<br>
instructive [ɪnˈstrʌktɪv] adj.有益的；教育性的<br>
request [riˈkwest] v.请求，要求<br>
drama [ˈdrɑ:mə] n.戏剧<br>
distill [diˈstil] vt.蒸馏，提取<br>
aircraft [ˈɛəkrɑ:ft] n.飞行器；飞机，飞艇<br>
professional [prəˈfeʃənəl] adj.专业的，职业的<br>
energetic [ˌenəˈdʒetik] adj.精力充沛的；积极的<br>
velocity [viˈlɔsiti] n.速度；速率<br>
endanger [enˈdeɪndʒə] vt.危及；危害<br>
sparsely [ˈspɑ:slɪ] adv.稀疏地，稀少地<br>
undergo [ˌʌndəˈɡəu] v.经历，遭受<br>
constitute [ˈkɔnstitju:t] vt.建立（政府），组成，构成<br>
handicap [ˈhændikæp] vt.严重妨碍，削弱<br>
distance [ˈdistəns] n.距离；远处<br>
topography [təˈpɔgrəfi:] n.地形；地形学<br>
accredit [əˈkredɪt] vt.委托，授权<br>
intruder [ɪnˈtru:də] n.入侵者，闯入者<br>
</div>

<div>destruction [disˈtrʌkʃən] n.破坏；毁灭<br>
mural [ˈmjʊərəl] n.壁画，壁饰<br>
abrupt [əˈbrʌpt] adj.突然的，意外的<br>
infiltrate [ɪnˈfɪlˌtreɪt] vt.使透过，使渗入<br>
convention [kənˈvenʃən] n.会议；传统<br>
ordinance [ˈɔ:dnəns] n.法令，条例<br>
gallantry [ˈgæləntri:] n.勇敢<br>
enthusiasm [inˈθju:ziæzəm] n.热心，热情<br>
aria [ˈɑːriə] n.独唱曲，咏叹调<br>
gem [dʒem] n.宝石，珠宝<br>
regeneration [rɪˌdʒenəˈreɪʃən] n.（灵魂）重生，新生<br>
acute [əˈkju:t] adj.灵敏的，敏锐的；剧烈的；很严重...<br>
individualism [ˌɪndəˈvɪdʒu:əˌlɪzəm] n.个人主义<br>
aquamarine [ˌækwəməˈri:n] n.海蓝宝石；碧绿色<br>
colonize [ˈkɔləˌnaɪz] vt.建立殖民地，开拓殖民地；定居，居...<br>
passive [ˈpæsiv] adj.被动的；消极的<br>
community [kəˈmju:niti] n.社区；社会<br>
compress [kəmˈpres] vt.压缩，浓缩<br>
accurate [ˈækjurit] adj.准确的，正确的<br>
calculator [ˈkælkjuleitə] n.计算器<br>
</div>

<div>crossbreeding  n.杂交育种<br>
germ [dʒə:m] n.细菌<br>
boring [ˈbɔ:riŋ] adj.令人厌烦的<br>
overburden [ˌəuvəˈbə:dn] v.装载过多；负担过多<br>
proclivity [prəʊˈklɪvɪti:] n.倾向，癖性<br>
renaissance [riˈneisns] n.复活；文艺复兴<br>
extol [ɪkˈstəʊl] vt.赞美<br>
shuffle [ˈʃʌfəl] vt.洗牌<br>
mechanism [ˈmekənizəm] n.机械；机理，运作机制<br>
currency [ˈkʌrənsi] n.通货，货币<br>
embryonic [ˌembri:ˈɔnɪk] adj.胚胎的，萌芽期的<br>
function [ˈfʌŋkʃən] n.功能；作用；职责<br>
pack [pæk] n.一群<br>
courtship [ˈkɔ:tˌʃɪp] n.求爱；求爱时期<br>
statue [ˈstætju:] n.雕像<br>
practical [ˈpræktikəl] adj.实际的，实践的；实用的<br>
dissenter [dɪˈsentə] n.不同意者，反对者<br>
contemporary [kənˈtempərəri] n.当代人，同龄人<br>
escalate [ˈeskəleit] vi.（使）扩大；（使）恶化；（使）升...<br>
adhere [ədˈhiə] vi.黏附，附着；追随，坚持<br>
</div>

<div>idiom [ˈidiəm] n.方言，土语；习惯用语<br>
prehistoric [ˌpri:hɪˈstɔ:rɪk] adj.史前的<br>
floodplain [ˈflʌdplein] n.泛滥平原，涝原，漫滩<br>
surpass [səˈpɑ:s] vt.超越，胜过<br>
disposed  adj.有…倾向的<br>
goal [ɡəul] n.目标<br>
sophistication [səˌfɪstɪˈkeɪʃn] n.老练；精致复杂<br>
protagonist [prəʊˈtægənɪst] n.领导者；主角<br>
feed [fi:d] n.饲料<br>
pueblo  n.印第安人村庄<br>
secretin [siˈkri:tin] n.分泌素<br>
tarnish [ˈtɑ:nɪʃ] vt.使失去光泽；玷污<br>
relax [riˈlæks] v.（使）松弛，放松<br>
rotation [rəʊˈteɪʃən] n.旋转<br>
successive [səkˈsesiv] adj.连续的，相继的<br>
manipulate [məˈnipjuleit] vt.操作；操纵，利用<br>
ranching [ˈræntʃɪŋ] n.经营大牧场<br>
conversion [kənˈvə:ʃən] n.变换，转化<br>
transmitter [trænzˈmitə] n.传送者，发射机<br>
prevail [priˈveil] vi.盛行，流行<br>
</div>

<div>prairie [ˈprɛəri] n.大草原<br>
urbanization [ˌɜːbənaɪˈzeɪʃn] n.城市化；都市化<br>
zeal [zi:l] n.热心，热情，热忱<br>
effective [iˈfektiv] adj.有效的；生效的<br>
exacting [ɪgˈzæktɪŋ] adj.苛求的，要求严格的<br>
scuba [ˈsku:bə] n.水肺，水中呼吸器<br>
demonstration [ˌdemənˈstreɪʃən] n.证明；示范<br>
conversation [ˌkɔnvəˈseiʃən] n.会话，非正式会谈<br>
interior [inˈtiəriə] n.&adj.内部（的）<br>
erect [iˈrekt] vt.使树立；建立，创立<br>
sort [sɔ:t] n.种类；类别<br>
amount [əˈmaunt] vi.总计；等于<br>
molten [ˈməʊltən] adj.熔融的，熔化的<br>
eventual [ɪˈventʃu:əl] adj.最终的<br>
exceed [ikˈsi:d] vt.超越，胜过<br>
pale [peil] adj.苍白的；暗淡的<br>
armory [ˈɑ:məri] n.军械，军械库<br>
textured  adj.质地粗糙的；有纹理的<br>
rupture [ˈrʌptʃə] v.断裂，断绝<br>
involuntary [ɪnˈvɔlənˌteri:] adj.不知不觉地，无意识的<br>
</div>

<div>triumph [ˈtraiəmf] vi.获得胜利，成功<br>
angular [ˈæŋgjələ] adj.有角的，尖角的<br>
inherent [inˈhiərənt] adj.固有的，内在的<br>
perspiration [ˌpɜ:spəˈreɪʃən] n.汗水；出汗<br>
boarder [ˈbɔ:də] n.住校生；寄宿生<br>
meteorologist [ˌmi:ti:əˈrɔlədʒɪst] n.气象学家<br>
tranquility [træŋˈkwɪlɪtɪ] n.平静，安静<br>
majority [məˈdʒɔriti] n.多数<br>
rumble [ˈrʌmbl] n.隆隆声，辘辘行驶声<br>
thorough [ˈθʌrə] adj.完全的，彻底的<br>
brim [brim] n.（帽）檐；边缘<br>
preferable [ˈprefərəbl] adj.更可取的，更好的<br>
ephemeral [ɪˈfemərəl] adj.短暂的，转瞬即逝的<br>
crooked [ˈkrukid] adj.不诚实的；欺诈的；弯曲的；蜿蜒...<br>
band [bænd] vi.联合，集合<br>
brown [braun] vt.（使）成褐色，晒黑<br>
complementary [ˌkɔmpləˈmentəri:] adj.补充的，互补的<br>
buddy [ˈbʌdi:] n.密友，伙伴<br>
grumble [ˈɡrʌmbl] vi.抱怨<br>
depot [ˈdepəu] n.货站，仓库<br>
</div>

<div>tentacle [ˈtentəkəl] n.触角，触须，触手<br>
minimum [ˈminiməm] n.最小值，最小化<br>
drawer [drɔ:] n.抽屉<br>
squirrel [ˈskwirəl] n.松鼠<br>
compression [kəmˈpreʃən] n.浓缩，压缩<br>
malfunction [mælˈfʌŋkʃən] n.故障，失灵<br>
fossilized  adj.变成化石的<br>
passion [ˈpæʃən] n.激情，热情<br>
compose [kəmˈpəuz] vt.作曲，写作；组成<br>
transform [trænsˈfɔ:m] vt.（使）变形，改观<br>
warehouse [ˈwɛəhaus] n.仓库，货栈<br>
misfortune [misˈfɔ:tʃən] n.不幸，灾祸<br>
genesis [ˈdʒenɪsɪs] n.起源，产生<br>
choreography [ˌkɔ:ri:ˈɔgrəfi:] n.舞蹈编排<br>
chagrin [ʃəˈgrɪn] n.懊恼，失望<br>
intelligence [inˈtelidʒəns] n.智力；聪明<br>
impracticality [ɪmˌpræktɪˈkæləti] n.不切实际<br>
disciplined [ˈdisiplind] adj.受过训练的，遵守纪律的<br>
excess [ˈekses] n.过量，超过<br>
extraordinary [ɪkˈstrɔːdnri] adj.特别的，非凡的<br>
</div>

<div>judgement [ˈdʒʌdʒmənt] n.判断；判决<br>
magnitude [ˈmæɡnitju:d] n.巨大；重要性<br>
excellent [ˈeksələnt] adj.优良的，杰出的<br>
annihilate [əˈnaɪəˌleɪt] vt.消灭；毁灭<br>
thrifty [ˈθrɪfti:] adj.节省的，节俭的<br>
crawl [krɔ:l] vi.爬，爬行<br>
relay [ˈriːleɪ] vt.分程传递；传播<br>
varied [ˈveəri:d] adj.杂色的，各式各样的<br>
embryological [ˌembriəˈlɒdʒɪkl] adj.胚胎学的<br>
twine [twaɪn] v.搓，织，编饰；（使）缠绕<br>
psychoanalysis [ˌsaɪkəʊəˈnælɪsɪs] n.精神分析；心理分析<br>
abolitionist  n.废奴主义者<br>
melodic [məˈlɒdɪk] adj.有旋律的，调子美妙的<br>
evoke [iˈvəuk] vt.引起，激起，唤起<br>
annually [ˈænjʊəlɪ] adv.一年一次，每年<br>
regenerate [rɪˈdʒenəˌreɪt] vt.使再生，新生；更新<br>
leisure [ˈleʒə] n.空闲，闲暇<br>
hygiene [ˈhaidʒi:n] n.卫生<br>
mortal [ˈmɔ:təl] adj.必死的；致命的<br>
seemingly [ˈsiːmɪŋli] adv.表面上，似乎<br>
</div>

<div>poster [ˈpəustə] n.海报，招贴<br>
profile [ˈprəufail] n.剖面，侧面；轮廓<br>
stimulus [ˈstimjuləs] n.刺激；刺激物<br>
exterminate [ɪkˈstɜ:məˌneɪt] vt.根除，灭绝<br>
superintendent [ˌsju:pərinˈtendənt] n.主管，负责人<br>
amplification [ˌæmpləfɪˈkeɪʃən] n.扩大<br>
complicated [ˈkɔmplikeitid] adj.费解的，棘手的；结构复杂的<br>
simulate [ˈsimjuleit] vt.模拟，模仿<br>
